"Super Monitoring","Super Monitoring"
"Settings","Einstellungen"
"Monitor your shop's uptime with www.supermonitoring.com services - and have all the charts and tables displayed in your Magento panel.","Überwachen Sie die Verfügbarkeit Ihrer Website mit den Services von www.supermonitoring.de - und lassen Sie die Berichte in Ihrem Magento-Panel anzeigen."
"If you already have a subscription at www.supermonitoring.com, enter your token to integrate the service with your Magento panel.","Wenn Sie bereits ein Abonnement bei www.supermonitoring.de haben, geben Sie Ihr Token ein, um den Dienst in Magento Panel zu integrieren."
"If you don`t have an account at www.supermonitoring.com yet, <a href='https://www.supermonitoring.com/?utm_source=Magento2&utm_medium=text&utm_campaign=plugin' target='_blank'><strong>sign up here</strong></a> for a 14-day free trial.","Wenn Sie noch kein Konto bei www.supermonitoring.de haben, <a href='https://www.supermonitoring.de/?utm_source=Magento2&utm_medium=text&utm_campaign=plugin' target='_blank'><strong>melden Sie sich hier</strong></a> für eine 14-tägige kostenlose Testversion an."
"You can find the token in your Account Settings at <a href='https://www.supermonitoring.com' target='_blank'>www.supermonitoring.com</a>.","Sie finden das Token in Ihren Kontoeinstellungen unter <a href='https://www.supermonitoring.de/' target='_blank'>www.supermonitoring.de</a>."
"Status","Status"
"Authorization token","Autorisierungs-Token"
"Enable","aktiviert"
"Disable","behindert"
"Changes have been saved.","Die Änderungen wurden gespeichert"
"Invalid token. You can obtain your token in your Account Settings at <a href='https://www.supermonitoring.com' target='_blank'>www.supermonitoring.com</a>.","Ungültiges Token. Sie können Ihr Token in Ihren Kontoeinstellungen unter <a href='https://www.supermonitoring.de' target='_blank'>www.supermonitoring.de</a> erhalten."
"Your Checks","Ihre Tests"
"Your Account","Ihr Konto"
"Your Contacts","Ihre Kontakte"
