"Super Monitoring","Super Monitoring"
"Settings","Ustawienia"
"Monitor your shop's uptime with www.supermonitoring.com services - and have all the charts and tables displayed in your Magento panel.","Monitoruj dostępność swojego sklepu za pomocą usług www.supermonitoring.pl - i wyświetlaj wszystkie wykresy i tabele w swoim panelu Magento."
"If you already have a subscription at www.supermonitoring.com, enter your token to integrate the service with your Magento panel.","Jeśli posiadasz subskrypcję w www.supermonitoring.pl, wprowadź swój token żeby zintegrować usługę z panelem Magento."
"If you don`t have an account at www.supermonitoring.com yet, <a href='https://www.supermonitoring.com/?utm_source=Magento2&utm_medium=text&utm_campaign=plugin' target='_blank'><strong>sign up here</strong></a> for a 14-day free trial.","Jeśli nie masz jeszcze konta w serwisie www.supermonitoring.pl, <a href='https://www.supermonitoring.pl/?utm_source=Magento2&utm_medium=text&utm_campaign=plugi' target='_blank'><strong>zarejestruj się tutaj</strong></a> aby otrzymać 14-dniowe konto próbne."
"You can find the token in your Account Settings at <a href='https://www.supermonitoring.com' target='_blank'>www.supermonitoring.com</a>.","Token znajdziesz w swoich Ustawieniach Konta w serwisie <a href='https://www.supermonitoring.pl' target='_blank'>www.supermonitoring.pl</a>."
"Status","Stan"
"Authorization token","Token autoryzacyjny"
"Enable","Włączony"
"Disable","Wyłączony"
"Changes have been saved.","Zmiany zostały zapisane."
"Invalid token. You can obtain your token in your Account Settings at <a href='https://www.supermonitoring.com' target='_blank'>www.supermonitoring.com</a>.","Nieprawidłowy token. Token znajdziejsz w swoich Ustawieniach Konta w serwisie <a href=’https://www.supermonitoring.pl’ target=’_blank’>www.supermonitoring.pl</a>."
"Your Checks","Twoje testy"
"Your Account","Twoje konto"
"Your Contacts","Twoje kontakty"
